tconst,averageRating,numVotes
tt0025529,6.5,1022
tt0025536,6.0,1041
tt0025580,6.5,1249
tt0025586,7.0,8806
tt0025590,7.3,1188
tt0025591,7.3,1774
tt0025607,5.9,1538
tt0025610,7.0,2285
tt0025617,6.5,1814
tt0025688,7.6,1595
tt0025699,5.3,1270
tt0025718,6.3,1050
tt0025740,6.8,1784
tt0025746,7.5,7576
tt0025748,7.3,4985
tt0025791,7.3,1064
tt0025830,5.1,1360
tt0025862,7.2,5794
tt0025873,7.5,2456
tt0025878,7.9,33887
tt0025880,6.7,1306
tt0025889,7.4,1154
tt0025898,7.2,2202
tt0025903,5.3,1058
tt0025907,7.1,3364
tt0025913,7.1,19208
tt0025919,7.2,7561
tt0025929,7.6,3656
tt0025946,6.9,1140
tt0025948,6.3,1675
tt0025969,5.2,1131
tt0025997,6.9,2728
tt0026000,6.6,1265
tt0026017,7.4,1239
tt0026029,7.6,64087
tt0026043,6.4,1100
tt0026056,6.9,4765
tt0026071,7.0,5973
tt0026073,6.6,2008
tt0026094,7.8,4184
tt0026097,6.7,2184
tt0026104,5.8,1395
tt0026121,6.4,1129
tt0026123,6.9,2490
tt0026126,6.7,2190
tt0026129,6.6,2069
tt0026138,7.8,55938
tt0026144,6.7,2178
tt0026164,6.8,2734
tt0026174,7.7,16724
tt0026184,6.6,1266
tt0026197,6.6,2243
tt0026198,7.0,1829
tt0026199,6.9,1669
tt0026205,6.9,3142
tt0026226,6.2,1022
tt0026246,6.9,2387
tt0026249,6.5,1374
tt0026252,6.8,2194
tt0026261,6.8,3911
tt0026264,6.6,1023
tt0026266,7.3,4928
tt0026267,5.1,1389
tt0026273,5.2,1089
tt0026276,6.9,4132
tt0026362,7.0,1411
tt0026388,6.5,1814
tt0026393,7.1,4526
tt0026406,6.7,2264
tt0026413,6.7,1453
tt0026421,6.8,3075
tt0026423,6.8,1769
tt0026424,7.5,1718
tt0026452,6.9,2222
tt0026479,8.0,1011
tt0026519,7.0,1486
tt0026529,7.4,7578
tt0026564,7.4,1481
tt0026605,6.4,1310
tt0026641,6.7,1755
tt0026643,7.0,3410
tt0026663,7.2,6179
tt0026667,6.8,1202
tt0026676,7.4,1409
tt0026683,4.0,1013
tt0026685,6.3,5835
tt0026706,7.4,1255
tt0026714,6.8,4076
tt0026725,7.6,4087
tt0026739,6.8,1346
tt0026744,6.7,1033
tt0026748,7.4,1279
tt0026752,7.6,25845
tt0026759,5.4,1173
tt0026768,6.5,1646
tt0026778,7.8,35711
tt0026816,7.2,2014
tt0026840,6.7,1440
tt0026846,5.1,1084
tt0026866,6.9,2782
tt0026872,7.2,1214
tt0026912,6.8,6973
tt0026914,6.4,1624
tt0026922,6.6,1104
tt0026932,6.2,1202
tt0026942,7.0,3791
tt0026955,7.6,4713
tt0026972,6.5,2831
tt0026983,6.4,2066
tt0027029,6.4,1303
tt0027040,6.7,1865
tt0027042,6.8,1415
tt0027067,6.2,4745
tt0027073,6.1,1886
tt0027075,7.8,6636
tt0027076,7.7,1290
tt0027087,5.1,1111
tt0027089,7.3,1688
tt0027100,6.8,1387
tt0027113,7.5,2569
tt0027118,7.4,1761
tt0027125,7.7,21503
tt0027126,7.1,3896
tt0027131,6.0,1064
tt0027189,6.6,1138
tt0027194,6.3,6919
tt0027214,7.3,3572
tt0027260,7.6,12655
tt0027281,7.2,1113
tt0027286,6.3,2267
tt0027300,6.3,2124
tt0027307,7.3,1369
tt0027336,7.5,3811
tt0027342,7.5,1517
tt0027357,6.5,1241
tt0027367,7.0,4101
tt0027376,6.6,2355
tt0027387,6.7,2061
tt0027407,7.0,3652
tt0027413,6.3,2156
tt0027421,7.0,1570
tt0027438,7.0,5671
tt0027439,6.8,1876
tt0027440,7.1,2367
tt0027441,7.0,1664
tt0027442,6.9,1860
tt0027459,6.8,2545
tt0027468,6.8,1751
tt0027474,7.2,1140
tt0027478,7.3,3902
tt0027489,7.6,1737
tt0027515,7.1,3170
tt0027521,7.0,5280
tt0027527,6.5,1004
tt0027529,7.9,2439
tt0027532,7.7,10683
tt0027538,7.1,1032
tt0027545,6.3,8652
tt0027552,7.4,2054
tt0027569,6.8,1527
tt0027593,6.9,2344
tt0027623,6.9,2811
tt0027630,7.1,4905
tt0027652,7.8,14317
tt0027657,5.8,1793
