tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0069847,movie,Carry on Abroad,Carry on Abroad,0.0,1972.0,,88.0,Comedy,6.5,4481
tt0069848,movie,Carry on Girls,Carry on Girls,0.0,1973.0,,88.0,"Comedy,Romance",5.8,3344
tt0069850,movie,The French Sex Murders,Casa d'appuntamento,0.0,1972.0,,88.0,"Drama,Horror,Mystery",5.2,1241
tt0069851,movie,Frankenstein's Castle of Freaks,Terror! Il castello delle donne maledette,0.0,1974.0,,89.0,Horror,3.9,1331
tt0069865,movie,Charley Varrick,Charley Varrick,0.0,1973.0,,111.0,"Crime,Drama,Thriller",7.5,14902
tt0069883,movie,Cinderella Liberty,Cinderella Liberty,0.0,1973.0,,117.0,"Drama,Romance",6.7,2566
tt0069890,movie,Cleopatra Jones,Cleopatra Jones,0.0,1973.0,,89.0,"Action,Crime,Thriller",5.9,3684
tt0069895,movie,The Crazies,The Crazies,0.0,1973.0,,103.0,"Action,Horror,Sci-Fi",6.1,15581
tt0069897,movie,Coffy,Coffy,0.0,1973.0,,90.0,"Action,Crime,Thriller",6.8,14022
tt0069909,movie,Un comisar acuza,Un comisar acuza,0.0,1974.0,,114.0,"Action,Crime,Drama",7.5,1131
tt0069920,movie,Torso,I corpi presentano tracce di violenza carnale,0.0,1973.0,,92.0,"Crime,Horror,Mystery",6.5,8648
